sample	fq1	fq2
R001	G_1st_R1_Lf_1.fq.gz	G_1st_R1_Lf_2.fq.gz
R002	G_1st_R2_Lf_1.fq.gz	G_1st_R2_Lf_2.fq.gz
R003	G_1st_R3_Lf_1.fq.gz	G_1st_R3_Lf_2.fq.gz
R004	G_2nd_R1_Lf_1.fq.gz	G_2nd_R1_Lf_2.fq.gz

